央視,#genre#
CCTV1綜合,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV2財經,http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV3綜藝,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV4中文國際,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV5體育,http://74.91.26.218:82/live/cctv5hd.m3u8
CCTV6電影,http://74.91.26.218:82/live/cctv6hd.m3u8
CCTV7國防軍事,http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV8電視劇,http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV9紀錄,http://74.91.26.218:82/live/cctv9hd.m3u8
CCTV10科教,http://74.91.26.218:82/live/cctv10hd.m3u8
CCTV11戲曲,http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV12社會與法,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV13新聞,http://74.91.26.218:82/live/cctv13hd.m3u8
CCTV14少兒,http://74.91.26.218:82/live/cctv14hd.m3u8
CCTV15音樂,http://74.91.26.218:82/live/cctv15hd.m3u8
CCTV16奧利匹克,http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV17農業農村,http://74.91.26.218:82/live/cctv17hd.m3u8
CCTV5+體育賽事,http://74.91.26.218:82/live/cctv5p.m3u8

衛視,#genre#
湖南衛視,http://74.91.26.218:82/live/hnwshd.m3u8
浙江衛視,http://74.91.26.218:82/live/zjwshd.m3u8
江蘇衛視,http://74.91.26.218:82/live/jswshd.m3u8
東方衛視,http://74.91.26.218:82/live/dfwshd.m3u8
廣東衛視,http://74.91.26.218:82/live/gdwshd.m3u8
深圳衛視,http://74.91.26.218:82/live/szwshd.m3u8
南方衛視,http://74.91.26.218:82/live/nfws.m3u8

體育,#genre#
CCTV5體育,http://74.91.26.218:82/live/cctv5hd.m3u8
CCTV16奧林匹克,http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV5+體育賽事,http://74.91.26.218:82/live/cctv5p.m3u8
廣東體育,http://74.91.26.218:82/live/gdty.m3u8

廣東,#genre#
南方衛視,http://74.91.26.218:82/live/nfws.m3u8
廣東新聞,http://74.91.26.218:82/live/gdxw.m3u8
廣東珠江,http://74.91.26.218:82/live/gdzj.m3u8
廣東體育,http://74.91.26.218:82/live/gdty.m3u8

輪播,#genre#
愛情公寓,http://74.91.26.218:82/live/vlaqgy.m3u8
喜劇影院,http://74.91.26.218:82/live/vlxjyy.m3u8
成龍,http://74.91.26.218:82/live/vlcl.m3u8
黃百鳴,http://74.91.26.218:82/live/vlhbm.m3u8
洪金寶,http://74.91.26.218:82/live/vlhjb.m3u8
劉德華,http://74.91.26.218:82/live/vlldh.m3u8
林正英,http://74.91.26.218:82/live/vllzy.m3u8
周潤發,http://74.91.26.218:82/live/vlzrf.m3u8
周星馳,http://74.91.26.218:82/live/vlzxc.m3u8
少年包青天,http://74.91.26.218:82/live/vlsnbqt.m3u8

香港,#genre#
翡翠台,http://74.91.26.218:82/live/jade.m3u8
無線新聞台,http://74.91.26.218:82/live/inews.m3u8
TVB Plus,http://74.91.26.218:82/live/j2.m3u8
TVB星河國語,http://74.91.26.218:82/live/tvbxh.m3u8
天映頻道,http://74.91.26.218:82/live/typd.m3u8
天映經典,http://74.91.26.218:82/live/tyjd.m3u8

台灣,#genre#
中視,http://74.91.26.218:82/live/ctv.m3u8
中視新聞,http://74.91.26.218:82/live/ctvnews.m3u8
中視經典,http://74.91.26.218:82/live/ctvjd.m3u8
中視菁採,http://74.91.26.218:82/live/ctvjc.m3u8
台視,http://74.91.26.218:82/live/ttv.m3u8
台視新聞,http://74.91.26.218:82/live/ttvnews.m3u8
台視綜合,http://74.91.26.218:82/live/ttvzh.m3u8
台視財經,http://74.91.26.218:82/live/ttvcj.m3u8
華視,http://74.91.26.218:82/live/cts.m3u8
華視新聞資訊,http://74.91.26.218:82/live/ctsnews.m3u8
華視教育體育文化,http://74.91.26.218:82/live/ctsjy.m3u8
民視,http://74.91.26.218:82/live/ftv.m3u8
民視新聞台,http://74.91.26.218:82/live/ftvnews.m3u8
民視台灣台,http://74.91.26.218:82/live/ftvtw.m3u8
民視第一台,http://74.91.26.218:82/live/ftvdy.m3u8
公視,http://74.91.26.218:82/live/pts.m3u8
公視台語台,http://74.91.26.218:82/live/ptsty.m3u8
小公視,http://74.91.26.218:82/live/ptsse.m3u8
TVBS新聞台,http://74.91.26.218:82/live/tvbsxw.m3u8
博斯高球1,http://74.91.26.218:82/live/bsgq1.m3u8
博斯高球2,http://74.91.26.218:82/live/bsgq2.m3u8
博斯魅力,http://74.91.26.218:82/live/bsml.m3u8
博斯網球,http://74.91.26.218:82/live/bswq.m3u8
